family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue
predictions,consensus789:big_small:pc28_high_regular,bankroll_only,2026-07,9238,6805,-99.7,0.3,0.3,99.7,182.8,1818,1524,3463,insufficient_for_one_unit,3461473
predictions,consensus789:big_small:pc28_high_regular,bankroll_only,2026-08,6234,6234,-26.2,73.8,32.55,67.45,107.45,1668,1454,3112,sample_end,3476369
predictions,consensus789:big_small:pc28_high_regular,bankroll_only,2026-09,2751,2751,-19.85,80.15,55.65,44.35,45.3,739,625,1387,sample_end,3479182
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit20,2026-07,9238,90,0.4,100.4,86.55,13.45,13.45,24,22,44,profit_target,3454751
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit20,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit20,2026-09,2751,22,0.95,100.95,92.7,7.3,7.3,7,3,12,profit_target,3476391
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit99,2026-07,9238,90,0.4,100.4,86.55,13.45,13.45,24,22,44,profit_target,3454751
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit99,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_high_regular,first_profit_limit99,2026-09,2751,22,0.95,100.95,92.7,7.3,7.3,7,3,12,profit_target,3476391
predictions,consensus789:big_small:pc28_high_regular,target1_limit20,2026-07,9238,94,1.25,101.25,86.55,13.45,13.45,25,24,45,profit_target,3454755
predictions,consensus789:big_small:pc28_high_regular,target1_limit20,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_high_regular,target1_limit20,2026-09,2751,85,-19.25,80.75,80.75,19.25,20.2,15,23,47,loss_limit,3476454
predictions,consensus789:big_small:pc28_high_regular,target5_limit20,2026-07,9238,211,-19.65,80.35,80.35,19.65,22.4,51,46,114,loss_limit,3454872
predictions,consensus789:big_small:pc28_high_regular,target5_limit20,2026-08,6234,4,5.55,105.55,100.0,0.0,0.0,3,1,0,profit_target,3463911
predictions,consensus789:big_small:pc28_high_regular,target5_limit20,2026-09,2751,85,-19.25,80.75,80.75,19.25,20.2,15,23,47,loss_limit,3476454
predictions,consensus789:big_small:pc28_high_regular,target10_limit20,2026-07,9238,211,-19.65,80.35,80.35,19.65,22.4,51,46,114,loss_limit,3454872
predictions,consensus789:big_small:pc28_high_regular,target10_limit20,2026-08,6234,32,11.05,111.05,100.0,0.0,4.45,13,6,13,profit_target,3463939
predictions,consensus789:big_small:pc28_high_regular,target10_limit20,2026-09,2751,85,-19.25,80.75,80.75,19.25,20.2,15,23,47,loss_limit,3476454
predictions,consensus789:big_small:pc28_high_regular,target1_limit80,2026-07,9238,94,1.25,101.25,86.55,13.45,13.45,25,24,45,profit_target,3454755
predictions,consensus789:big_small:pc28_high_regular,target1_limit80,2026-08,6234,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_high_regular,target1_limit80,2026-09,2751,2491,1.75,101.75,55.65,44.35,45.3,675,569,1247,profit_target,3478915
predictions,consensus789:big_small:pc28_netdisk_regular,bankroll_only,2026-07,9238,4404,-99.48,0.52,0.52,99.48,133.56,2174,0,2230,insufficient_for_one_unit,3459071
predictions,consensus789:big_small:pc28_netdisk_regular,bankroll_only,2026-08,6234,6234,-52.44,47.56,3.54,96.46,110.86,3122,0,3112,sample_end,3476369
predictions,consensus789:big_small:pc28_netdisk_regular,bankroll_only,2026-09,2751,2751,-50.28,49.72,49.72,50.28,52.2,1364,0,1387,sample_end,3479182
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit20,2026-07,9238,89,0.1,100.1,89.76,10.24,10.24,45,0,44,profit_target,3454750
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit20,2026-08,6234,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit20,2026-09,2751,3,0.96,100.96,99.0,1.0,1.0,2,0,1,profit_target,3476372
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit99,2026-07,9238,89,0.1,100.1,89.76,10.24,10.24,45,0,44,profit_target,3454750
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit99,2026-08,6234,1,0.98,100.98,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,consensus789:big_small:pc28_netdisk_regular,first_profit_limit99,2026-09,2751,3,0.96,100.96,99.0,1.0,1.0,2,0,1,profit_target,3476372
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit20,2026-07,9238,90,1.08,101.08,89.76,10.24,10.24,46,0,44,profit_target,3454751
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit20,2026-08,6234,2,1.96,101.96,100.0,0.0,0.0,2,0,0,profit_target,3463909
predictions,consensus789:big_small:pc28_netdisk_regular,target1_limit20,2026-09,2751,6,1.92,101.92,99.0,1.0,1.0,4,0,2,profit_target,3476375
predictions,consensus789:big_small:pc28_netdisk_regular,target5_limit20,2026-07,9238,129,5.64,105.64,89.76,10.24,10.24,68,0,61,profit_target,3454790
predictions,consensus789:big_small:pc28_netdisk_regular,target5_limit20,2026-08,6234,26,5.68,105.68,99.8,0.2,4.12,16,0,10,profit_target,3463933
predictions,consensus789:big_small:pc28_netdisk_regular,target5_limit20,2026-09,2751,186,-19.68,80.32,80.32,19.68,21.6,84,0,102,loss_limit,3476555
predictions,consensus789:big_small:pc28_netdisk_regular,target10_limit20,2026-07,9238,212,-19.94,80.06,80.06,19.94,25.58,97,0,115,loss_limit,3454873
