family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
observed,observed_rule0,target100_bankroll,6,5,1,False,1,-99.69,104.37,99.69,130.66
observed,observed_rule0,target100_limit99,6,5,1,False,0,-98.69,105.37,98.69,129.66
observed,observed_rule1,target100_bankroll,6,6,0,False,1,-99.57,-88.44,99.57,185.49
observed,observed_rule1,target100_limit99,6,6,0,False,0,-98.57,-87.44,98.57,184.49
observed,observed_rule1:sub2:big_small,target100_bankroll,5,3,0,False,0,-10.3,-18.15,10.3,17.25
observed,observed_rule1:sub2:big_small,target100_limit99,5,3,0,False,0,-10.3,-18.15,10.3,17.25
observed,observed_rule1:sub2:combo,target100_bankroll,6,5,0,False,0,-8.67,38.19,16.56,41.45
observed,observed_rule1:sub2:combo,target100_limit99,6,5,0,False,0,-8.67,38.19,16.56,41.45
observed,observed_rule1:sub2:odd_even,target100_bankroll,6,5,0,False,0,-20.15,32.7,20.15,20.3
observed,observed_rule1:sub2:odd_even,target100_limit99,6,5,0,False,0,-20.15,32.7,20.15,20.3
observed,observed_rule1:sub3:big_small,target100_bankroll,6,6,0,False,0,-19.95,14.9,19.95,20.8
observed,observed_rule1:sub3:big_small,target100_limit99,6,6,0,False,0,-19.95,14.9,19.95,20.8
observed,observed_rule1:sub3:combo,target100_bankroll,6,5,0,False,0,-33.11,-16.81,49.11,82.0
observed,observed_rule1:sub3:combo,target100_limit99,6,5,0,False,0,-33.11,-16.81,49.11,82.0
observed,observed_rule1:sub3:odd_even,target100_bankroll,5,3,0,False,0,-9.6,23.9,9.6,12.95
observed,observed_rule1:sub3:odd_even,target100_limit99,5,3,0,False,0,-9.6,23.9,9.6,12.95
observed,observed_rule1:sub4:big_small,target100_bankroll,5,2,0,False,0,-35.75,-43.85,42.0,42.0
observed,observed_rule1:sub4:big_small,target100_limit99,5,2,0,False,0,-35.75,-43.85,42.0,42.0
observed,observed_rule1:sub4:combo,target100_bankroll,6,4,0,False,0,-45.49,-15.48,58.38,71.01
observed,observed_rule1:sub4:combo,target100_limit99,6,4,0,False,0,-45.49,-15.48,58.38,71.01
observed,observed_rule1:sub4:odd_even,target100_bankroll,4,1,0,False,0,0.0,10.1,0.0,1.0
observed,observed_rule1:sub4:odd_even,target100_limit99,4,1,0,False,0,0.0,10.1,0.0,1.0
observed,observed_rule1:sub5:big_small,target100_bankroll,5,3,0,False,0,-2.35,27.2,19.2,19.45
observed,observed_rule1:sub5:big_small,target100_limit99,5,3,0,False,0,-2.35,27.2,19.2,19.45
observed,observed_rule1:sub5:combo,target100_bankroll,5,3,0,False,0,-20.99,-18.82,20.99,61.8
observed,observed_rule1:sub5:combo,target100_limit99,5,3,0,False,0,-20.99,-18.82,20.99,61.8
observed,observed_rule1:sub5:odd_even,target100_bankroll,5,2,0,False,0,0.0,60.2,1.15,8.3
observed,observed_rule1:sub5:odd_even,target100_limit99,5,2,0,False,0,0.0,60.2,1.15,8.3
observed,observed_rule1:sub6:big_small,target100_bankroll,6,3,0,False,0,-22.0,-3.55,22.0,23.7
