family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue,target_reached,last_bet_time_cn
predictions,consensus789:big_small:pc28_high_regular,target100_bankroll,2026-07,9238,6805,-99.7,0.3,0.3,99.7,182.8,1818,1524,3463,insufficient_for_one_unit,3461473,False,2026-07-25T22:42:00+08:00
predictions,consensus789:big_small:pc28_high_regular,target100_bankroll,2026-08,6234,6234,-26.2,73.8,32.55,67.45,107.45,1668,1454,3112,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:big_small:pc28_high_regular,target100_bankroll,2026-09,2751,2751,-19.85,80.15,55.65,44.35,45.3,739,625,1387,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:big_small:pc28_high_regular,target100_limit99,2026-07,9238,6803,-98.7,1.3,1.3,98.7,181.8,1818,1523,3462,loss_limit,3461471,False,2026-07-25T22:35:00+08:00
predictions,consensus789:big_small:pc28_high_regular,target100_limit99,2026-08,6234,6234,-26.2,73.8,32.55,67.45,107.45,1668,1454,3112,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:big_small:pc28_high_regular,target100_limit99,2026-09,2751,2751,-19.85,80.15,55.65,44.35,45.3,739,625,1387,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_bankroll,2026-07,9238,4404,-99.48,0.52,0.52,99.48,133.56,2174,0,2230,insufficient_for_one_unit,3459071,False,2026-07-19T23:17:00+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_bankroll,2026-08,6234,6234,-52.44,47.56,3.54,96.46,110.86,3122,0,3112,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_bankroll,2026-09,2751,2751,-50.28,49.72,49.72,50.28,52.2,1364,0,1387,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_limit99,2026-07,9238,4397,-98.42,1.58,1.58,98.42,132.5,2171,0,2226,loss_limit,3459064,False,2026-07-19T22:52:30+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_limit99,2026-08,6234,6234,-52.44,47.56,3.54,96.46,110.86,3122,0,3112,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:big_small:pc28_netdisk_regular,target100_limit99,2026-09,2751,2751,-50.28,49.72,49.72,50.28,52.2,1364,0,1387,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:combo:pc28_high_regular,target100_bankroll,2026-07,6447,2763,-99.2,0.8,0.8,99.2,160.84,350,343,2070,insufficient_for_one_unit,3458677,False,2026-07-18T23:45:00+08:00
predictions,consensus789:combo:pc28_high_regular,target100_bankroll,2026-08,4328,1149,104.5,204.5,57.96,42.04,92.7,170,136,843,profit_target,3465591,True,2026-08-05T04:25:00+08:00
predictions,consensus789:combo:pc28_high_regular,target100_bankroll,2026-09,1944,1944,-44.47,55.53,17.2,82.8,128.15,256,212,1476,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:combo:pc28_high_regular,target100_limit99,2026-07,6447,2762,-98.2,1.8,1.8,98.2,159.84,350,343,2069,loss_limit,3458675,False,2026-07-18T23:38:00+08:00
predictions,consensus789:combo:pc28_high_regular,target100_limit99,2026-08,4328,1149,104.5,204.5,57.96,42.04,92.7,170,136,843,profit_target,3465591,True,2026-08-05T04:25:00+08:00
predictions,consensus789:combo:pc28_high_regular,target100_limit99,2026-09,1944,1944,-44.47,55.53,17.2,82.8,128.15,256,212,1476,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_bankroll,2026-07,6447,2450,-99.2,0.8,0.8,99.2,124.2,623,0,1827,insufficient_for_one_unit,3458242,False,2026-07-17T21:49:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_bankroll,2026-08,4328,2876,-99.2,0.8,0.8,99.2,142.6,729,0,2147,insufficient_for_one_unit,3468194,False,2026-08-11T15:33:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_bankroll,2026-09,1944,1247,-99.2,0.8,0.8,99.2,99.2,302,0,945,insufficient_for_one_unit,3478136,False,2026-09-05T09:15:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_limit99,2026-07,6447,2430,-98.4,1.6,1.6,98.4,123.4,618,0,1812,loss_limit,3458200,False,2026-07-17T18:49:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_limit99,2026-08,4328,2875,-98.2,1.8,1.8,98.2,141.6,729,0,2146,loss_limit,3468192,False,2026-08-11T15:26:30+08:00
predictions,consensus789:combo:pc28_netdisk_regular,target100_limit99,2026-09,1944,1246,-98.2,1.8,1.8,98.2,98.2,302,0,944,loss_limit,3478132,False,2026-09-05T09:01:30+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_bankroll,2026-07,9238,1529,-99.6,0.4,0.4,99.6,99.6,384,335,810,insufficient_for_one_unit,3456195,False,2026-07-12T19:40:00+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_bankroll,2026-08,6234,6234,17.4,117.4,82.65,17.35,73.0,1684,1452,3098,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_bankroll,2026-09,2751,2751,39.15,139.15,81.5,18.5,58.4,759,627,1365,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_limit99,2026-07,9238,1527,-98.6,1.4,1.4,98.6,98.6,384,334,809,loss_limit,3456193,False,2026-07-12T19:33:00+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_limit99,2026-08,6234,6234,17.4,117.4,82.65,17.35,73.0,1684,1452,3098,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:odd_even:pc28_high_regular,target100_limit99,2026-09,2751,2751,39.15,139.15,81.5,18.5,58.4,759,627,1365,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_bankroll,2026-07,9238,1448,-99.62,0.38,0.38,99.62,101.56,681,0,767,insufficient_for_one_unit,3456114,False,2026-07-12T14:23:30+08:00
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_bankroll,2026-08,6234,6234,-24.72,75.28,43.12,56.88,89.88,3136,0,3098,sample_end,3476369,False,2026-08-31T23:59:00+08:00
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_bankroll,2026-09,2751,2751,-6.72,93.28,63.98,36.02,55.94,1386,0,1365,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_limit99,2026-07,9238,1423,-98.38,1.62,1.62,98.38,100.32,669,0,754,loss_limit,3456089,False,2026-07-12T12:56:00+08:00
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_limit99,2026-08,6234,6234,-24.72,75.28,43.12,56.88,89.88,3136,0,3098,sample_end,3476369,False,2026-08-31T23:59:00+08:00
