rule,metric,value,paid_win_probability,refund_probability,loss_probability,net_expectation,net_stddev
pc28_high_regular,big_small,大,0.27,0.23,0.5,-0.0005,1.193346
pc28_high_regular,big_small,小,0.27,0.23,0.5,-0.0005,1.193346
pc28_high_regular,odd_even,单,0.27,0.23,0.5,-0.0005,1.193346
pc28_high_regular,odd_even,双,0.27,0.23,0.5,-0.0005,1.193346
pc28_high_regular,combo,大单,0.144,0.087,0.769,-0.00148,2.204513
pc28_high_regular,combo,大双,0.126,0.143,0.731,-0.00272,2.222713
pc28_high_regular,combo,小单,0.126,0.143,0.731,-0.00272,2.222713
pc28_high_regular,combo,小双,0.144,0.087,0.769,-0.00148,2.204513
pc28_high_regular,number,0,0.001,0.0,0.999,0.0,31.606961
pc28_high_regular,number,1,0.003,0.0,0.997,-0.1,16.407011
pc28_high_regular,number,2,0.006,0.0,0.994,-0.154,10.888998
pc28_high_regular,number,3,0.01,0.0,0.99,-0.28,7.16391
pc28_high_regular,number,4,0.015,0.0,0.985,-0.175,6.685385
pc28_high_regular,number,5,0.021,0.0,0.979,-0.118,6.022132
pc28_high_regular,number,6,0.028,0.0,0.972,-0.216,4.619236
pc28_high_regular,number,7,0.036,0.0,0.964,-0.208,4.098382
pc28_high_regular,number,8,0.045,0.0,0.955,-0.19,3.731474
pc28_high_regular,number,9,0.055,0.0,0.945,-0.175,3.419704
pc28_high_regular,number,10,0.063,0.0,0.937,-0.118,3.401481
pc28_high_regular,number,11,0.069,0.0,0.931,-0.103,3.294904
pc28_high_regular,number,12,0.073,0.0,0.927,-0.124,3.121638
pc28_high_regular,number,13,0.075,0.0,0.925,-0.1,3.160696
pc28_high_regular,number,14,0.075,0.0,0.925,-0.1,3.160696
pc28_high_regular,number,15,0.073,0.0,0.927,-0.124,3.121638
pc28_high_regular,number,16,0.069,0.0,0.931,-0.103,3.294904
pc28_high_regular,number,17,0.063,0.0,0.937,-0.118,3.401481
pc28_high_regular,number,18,0.055,0.0,0.945,-0.175,3.419704
pc28_high_regular,number,19,0.045,0.0,0.955,-0.19,3.731474
pc28_high_regular,number,20,0.036,0.0,0.964,-0.208,4.098382
pc28_high_regular,number,21,0.028,0.0,0.972,-0.216,4.619236
pc28_high_regular,number,22,0.021,0.0,0.979,-0.118,6.022132
pc28_high_regular,number,23,0.015,0.0,0.985,-0.175,6.685385
pc28_high_regular,number,24,0.01,0.0,0.99,-0.28,7.16391
pc28_high_regular,number,25,0.006,0.0,0.994,-0.154,10.888998
pc28_high_regular,number,26,0.003,0.0,0.997,-0.1,16.407011
pc28_high_regular,number,27,0.001,0.0,0.999,0.0,31.606961
pc28_netdisk_regular,big_small,大,0.5,0.0,0.5,-0.01,0.99
pc28_netdisk_regular,big_small,小,0.5,0.0,0.5,-0.01,0.99
pc28_netdisk_regular,odd_even,单,0.5,0.0,0.5,-0.01,0.99
pc28_netdisk_regular,odd_even,双,0.5,0.0,0.5,-0.01,0.99
pc28_netdisk_regular,combo,大单,0.231,0.0,0.769,-0.0298,1.770184
pc28_netdisk_regular,combo,大双,0.269,0.0,0.731,-0.0316,1.596384
pc28_netdisk_regular,combo,小单,0.269,0.0,0.731,-0.0316,1.596384
pc28_netdisk_regular,combo,小双,0.231,0.0,0.769,-0.0298,1.770184
pc28_netdisk_regular,number,0,0.001,0.0,0.999,-0.112,28.066982
pc28_netdisk_regular,number,1,0.003,0.0,0.997,-0.16,15.31321
pc28_netdisk_regular,number,2,0.006,0.0,0.994,-0.172,10.657317
pc28_netdisk_regular,number,3,0.01,0.0,0.99,-0.42,5.770927
pc28_netdisk_regular,number,4,0.015,0.0,0.985,-0.28,5.834518
pc28_netdisk_regular,number,5,0.021,0.0,0.979,-0.328,4.588291
pc28_netdisk_regular,number,6,0.028,0.0,0.972,-0.3,4.124318
pc28_netdisk_regular,number,7,0.036,0.0,0.964,-0.28,3.725802
pc28_netdisk_regular,number,8,0.045,0.0,0.955,-0.235,3.52417
pc28_netdisk_regular,number,9,0.055,0.0,0.945,-0.175,3.419704
pc28_netdisk_regular,number,10,0.063,0.0,0.937,-0.118,3.401481
pc28_netdisk_regular,number,11,0.069,0.0,0.931,-0.103,3.294904
pc28_netdisk_regular,number,12,0.073,0.0,0.927,-0.124,3.121638
pc28_netdisk_regular,number,13,0.075,0.0,0.925,-0.1,3.160696
pc28_netdisk_regular,number,14,0.075,0.0,0.925,-0.1,3.160696
pc28_netdisk_regular,number,15,0.073,0.0,0.927,-0.124,3.121638
pc28_netdisk_regular,number,16,0.069,0.0,0.931,-0.103,3.294904
pc28_netdisk_regular,number,17,0.063,0.0,0.937,-0.118,3.401481
pc28_netdisk_regular,number,18,0.055,0.0,0.945,-0.175,3.419704
pc28_netdisk_regular,number,19,0.045,0.0,0.955,-0.235,3.52417
pc28_netdisk_regular,number,20,0.036,0.0,0.964,-0.28,3.725802
pc28_netdisk_regular,number,21,0.028,0.0,0.972,-0.3,4.124318
pc28_netdisk_regular,number,22,0.021,0.0,0.979,-0.328,4.588291
pc28_netdisk_regular,number,23,0.015,0.0,0.985,-0.28,5.834518
pc28_netdisk_regular,number,24,0.01,0.0,0.99,-0.42,5.770927
pc28_netdisk_regular,number,25,0.006,0.0,0.994,-0.172,10.657317
pc28_netdisk_regular,number,26,0.003,0.0,0.997,-0.16,15.31321
pc28_netdisk_regular,number,27,0.001,0.0,0.999,-0.112,28.066982
