rule,sub,subname,metric,period,hit,miss,refund,net,stake,roi,hr
1,2,找平衡,big_small,5月,48,85,37,3.8,170,2.2,36.1
1,2,找平衡,combo,5月,45,208,28,43.1,281,15.3,17.8
1,2,找平衡,odd_even,5月,49,84,37,6.6,170,3.9,36.8
1,3,追长龙,big_small,5月,33,81,34,-19.9,148,-13.5,28.9
1,3,追长龙,combo,5月,68,414,49,-33.1,531,-6.2,14.1
1,3,追长龙,odd_even,5月,24,29,19,15.4,72,21.4,45.3
1,4,小六壬预测,big_small,5月,77,145,76,-2.6,298,-0.9,34.7
1,4,小六壬预测,combo,5月,91,529,69,-24.2,689,-3.5,14.7
1,5,频次趋势 V1,big_small,5月,78,131,62,13.3,271,4.9,37.3
1,5,频次趋势 V1,combo,5月,88,480,52,7.5,620,1.2,15.5
1,5,频次趋势 V1,odd_even,5月,57,73,32,32.5,162,20.0,43.8
1,6,组合马尔可夫 V1,big_small,5月,38,54,25,16.3,117,13.9,41.3
1,6,组合马尔可夫 V1,combo,5月,66,422,74,-50.9,562,-9.1,13.5
1,6,组合马尔可夫 V1,odd_even,5月,166,266,123,41.1,555,7.4,38.4
2,2,找平衡,big_small,5月,61,112,51,0.8,224,0.4,35.3
2,2,找平衡,combo,5月,27,169,31,-14.7,227,-6.5,13.8
2,2,找平衡,odd_even,5月,129,219,120,19.7,468,4.2,37.1
2,3,追长龙,big_small,5月,100,198,88,-13.0,386,-3.4,33.6
2,3,追长龙,combo,5月,2,42,7,-30.9,51,-60.6,4.5
2,3,追长龙,odd_even,5月,124,269,101,-39.6,494,-8.0,31.6
2,4,小六壬预测,big_small,5月,286,453,214,76.1,953,8.0,38.7
2,4,小六壬预测,combo,5月,10,80,15,-25.4,105,-24.1,11.1
2,4,小六壬预测,odd_even,5月,71,147,58,-15.6,276,-5.7,32.6
2,5,频次趋势 V1,big_small,5月,137,239,105,14.4,481,3.0,36.4
2,5,频次趋势 V1,combo,5月,26,112,23,34.2,161,21.3,18.8
2,5,频次趋势 V1,odd_even,5月,208,322,147,62.8,677,9.3,39.2
2,6,组合马尔可夫 V1,big_small,5月,264,493,222,-4.6,979,-0.5,34.9
2,6,组合马尔可夫 V1,combo,5月,24,97,17,38.1,138,27.6,19.8
2,6,组合马尔可夫 V1,odd_even,5月,161,276,125,21.9,562,3.9,36.8
1,2,找平衡,big_small,6月全,33,69,29,-8.0,131,-6.1,32.4
1,2,找平衡,combo,6月全,27,154,28,-3.3,209,-1.6,14.9
1,2,找平衡,odd_even,6月全,9,14,8,2.7,31,8.5,39.1
1,3,追长龙,big_small,6月全,40,62,19,12.0,121,9.9,39.2
1,3,追长龙,combo,6月全,12,41,6,25.7,59,43.5,22.6
1,4,小六壬预测,combo,6月全,22,123,10,1.0,155,0.7,15.2
1,4,小六壬预测,odd_even,6月全,6,1,3,10.1,10,101.0,85.7
1,5,频次趋势 V1,big_small,6月全,69,130,54,-2.4,253,-0.9,34.7
1,5,频次趋势 V1,combo,6月全,21,126,22,-7.3,169,-4.3,14.3
1,5,频次趋势 V1,odd_even,6月全,35,37,19,27.8,91,30.5,48.6
1,6,组合马尔可夫 V1,big_small,6月全,140,255,122,4.0,517,0.8,35.4
1,6,组合马尔可夫 V1,combo,6月全,27,203,34,-49.2,264,-18.6,11.7
