方案,指标,规则,触发数,止盈率,止损率,中间率,达止盈期数中位,最大回撤中位
小六壬,big_small,低命,17,100%,0%,0%,51,-1.0
小六壬,big_small,高命,56,100%,0%,0%,45,-1.1
小六壬,odd_even,低命,16,100%,0%,0%,46,-2.0
小六壬,odd_even,高命,32,100%,0%,0%,42,-1.2
小六壬,combo,低命,35,100%,0%,0%,32,-5.0
小六壬,combo,高命,39,100%,0%,0%,25,-3.0
追长龙,big_small,低命,9,100%,0%,0%,59,-1.0
追长龙,big_small,高命,15,100%,0%,0%,39,-2.0
追长龙,odd_even,高命,21,100%,0%,0%,33,-1.0
追长龙,combo,低命,12,92%,8%,0%,19,-2.0
追长龙,combo,高命,14,100%,0%,0%,21,-3.0
找平衡,big_small,低命,11,100%,0%,0%,48,-1.2
找平衡,big_small,高命,18,100%,0%,0%,46,-0.5
找平衡,odd_even,低命,9,100%,0%,0%,31,-1.0
找平衡,odd_even,高命,45,100%,0%,0%,41,-1.2
找平衡,combo,低命,16,100%,0%,0%,20,-2.0
找平衡,combo,高命,32,100%,0%,0%,24,-2.0
频次趋势V1,big_small,低命,20,100%,0%,0%,44,-1.0
频次趋势V1,big_small,高命,37,100%,0%,0%,44,-1.2
频次趋势V1,odd_even,低命,22,100%,0%,0%,42,-1.0
频次趋势V1,odd_even,高命,50,100%,0%,0%,44,-1.2
频次趋势V1,combo,低命,31,100%,0%,0%,35,-4.0
频次趋势V1,combo,高命,36,100%,0%,0%,26,-3.2
组合马尔可夫V1,big_small,低命,21,100%,0%,0%,44,-1.0
组合马尔可夫V1,big_small,高命,37,100%,0%,0%,44,-1.2
组合马尔可夫V1,odd_even,低命,23,100%,0%,0%,41,-1.0
组合马尔可夫V1,odd_even,高命,45,100%,0%,0%,39,-1.0
组合马尔可夫V1,combo,低命,41,98%,2%,0%,22,-2.0
组合马尔可夫V1,combo,高命,41,100%,0%,0%,24,-3.5
遗漏回补V1,big_small,低命,17,100%,0%,0%,48,-0.2
遗漏回补V1,big_small,高命,43,100%,0%,0%,44,-1.0
遗漏回补V1,odd_even,低命,17,100%,0%,0%,45,-1.0
遗漏回补V1,odd_even,高命,32,100%,0%,0%,46,-1.0
遗漏回补V1,combo,低命,32,100%,0%,0%,24,-2.5
遗漏回补V1,combo,高命,27,100%,0%,0%,22,-3.0
