pid,name,metric,triggers,p10,p50,p90,below_breakeven_pct
1,小六壬,big_small,85,40.0,50.0,62.5,6
1,小六壬,odd_even,49,37.5,50.0,60.0,2
4,追长龙,big_small,22,40.0,52.5,62.5,5
4,追长龙,odd_even,33,45.0,52.5,65.0,3
5,找平衡,big_small,23,42.5,47.5,57.5,0
5,找平衡,odd_even,71,42.5,52.5,60.0,3
7,频次趋势V1,big_small,60,40.0,50.0,62.5,5
7,频次趋势V1,odd_even,71,40.0,50.0,57.5,3
8,组合马尔可夫V1,big_small,59,40.0,50.0,65.0,5
8,组合马尔可夫V1,odd_even,66,42.5,52.5,60.0,3
9,遗漏回补V1,big_small,68,42.5,50.0,60.0,0
9,遗漏回补V1,odd_even,50,40.0,50.0,60.0,4
