pid,name,metric,week,hitrate,n
1,小六壬,big_small,2026-W18,54.6,469
1,小六壬,big_small,2026-W19,49.4,2777
1,小六壬,big_small,2026-W20,50.1,2774
1,小六壬,big_small,2026-W21,52.0,2808
1,小六壬,big_small,2026-W22,46.8,1457
1,小六壬,big_small,2026-W23,51.2,2476
1,小六壬,big_small,2026-W24,50.2,2697
1,小六壬,big_small,2026-W25,51.6,2653
1,小六壬,big_small,2026-W26,51.1,2489
1,小六壬,big_small,2026-W27,49.9,812
1,小六壬,odd_even,2026-W18,52.0,469
1,小六壬,odd_even,2026-W19,48.9,2777
1,小六壬,odd_even,2026-W20,49.9,2774
1,小六壬,odd_even,2026-W21,49.5,2808
1,小六壬,odd_even,2026-W22,49.0,1457
1,小六壬,odd_even,2026-W23,49.6,2476
1,小六壬,odd_even,2026-W24,51.1,2697
1,小六壬,odd_even,2026-W25,49.5,2653
1,小六壬,odd_even,2026-W26,48.5,2489
1,小六壬,odd_even,2026-W27,52.1,812
1,小六壬,combo,2026-W18,26.4,469
1,小六壬,combo,2026-W19,25.1,2777
1,小六壬,combo,2026-W20,25.3,2774
1,小六壬,combo,2026-W21,25.4,2808
1,小六壬,combo,2026-W22,21.9,1457
1,小六壬,combo,2026-W23,24.6,2476
1,小六壬,combo,2026-W24,25.8,2697
1,小六壬,combo,2026-W25,26.0,2653
1,小六壬,combo,2026-W26,25.2,2489
1,小六壬,combo,2026-W27,27.0,812
4,追长龙,big_small,2026-W18,53.0,924
4,追长龙,big_small,2026-W19,48.3,2118
4,追长龙,big_small,2026-W20,49.8,2432
4,追长龙,big_small,2026-W21,48.9,1461
4,追长龙,big_small,2026-W22,51.3,458
4,追长龙,big_small,2026-W23,56.5,283
4,追长龙,big_small,2026-W24,49.3,430
4,追长龙,big_small,2026-W25,48.7,337
4,追长龙,big_small,2026-W26,50.6,1564
4,追长龙,big_small,2026-W27,46.5,563
4,追长龙,odd_even,2026-W18,50.8,924
4,追长龙,odd_even,2026-W19,49.3,2118
4,追长龙,odd_even,2026-W20,52.1,2432
4,追长龙,odd_even,2026-W21,50.4,1461
4,追长龙,odd_even,2026-W22,50.2,458
4,追长龙,odd_even,2026-W23,49.5,283
4,追长龙,odd_even,2026-W24,50.0,430
4,追长龙,odd_even,2026-W25,46.9,337
4,追长龙,odd_even,2026-W26,50.3,1564
4,追长龙,odd_even,2026-W27,49.2,563
4,追长龙,combo,2026-W18,28.9,924
4,追长龙,combo,2026-W19,24.6,2118
4,追长龙,combo,2026-W20,27.8,2432
4,追长龙,combo,2026-W21,23.8,1461
4,追长龙,combo,2026-W22,26.4,458
4,追长龙,combo,2026-W23,29.3,283
4,追长龙,combo,2026-W24,25.1,430
4,追长龙,combo,2026-W25,21.4,337
4,追长龙,combo,2026-W26,23.5,1564
4,追长龙,combo,2026-W27,20.1,563
5,找平衡,big_small,2026-W18,52.2,925
5,找平衡,big_small,2026-W19,50.2,2623
5,找平衡,big_small,2026-W20,50.7,2751
5,找平衡,big_small,2026-W21,51.2,1457
5,找平衡,big_small,2026-W22,49.6,1793
5,找平衡,big_small,2026-W23,47.8,1617
5,找平衡,big_small,2026-W24,47.0,1403
5,找平衡,big_small,2026-W25,51.0,1494
5,找平衡,big_small,2026-W26,49.9,2647
5,找平衡,big_small,2026-W27,50.4,552
5,找平衡,odd_even,2026-W18,51.8,925
5,找平衡,odd_even,2026-W19,50.1,2623
5,找平衡,odd_even,2026-W20,48.9,2751
5,找平衡,odd_even,2026-W21,50.0,1457
5,找平衡,odd_even,2026-W22,51.6,1793
5,找平衡,odd_even,2026-W23,51.3,1617
5,找平衡,odd_even,2026-W24,50.1,1403
5,找平衡,odd_even,2026-W25,51.5,1494
5,找平衡,odd_even,2026-W26,51.3,2647
5,找平衡,odd_even,2026-W27,51.3,552
5,找平衡,combo,2026-W18,28.2,925
5,找平衡,combo,2026-W19,25.7,2623
5,找平衡,combo,2026-W20,26.6,2751
5,找平衡,combo,2026-W21,26.1,1457
5,找平衡,combo,2026-W22,27.0,1793
5,找平衡,combo,2026-W23,26.0,1617
5,找平衡,combo,2026-W24,24.6,1403
5,找平衡,combo,2026-W25,25.7,1494
5,找平衡,combo,2026-W26,25.3,2647
5,找平衡,combo,2026-W27,24.1,552
7,频次趋势V1,big_small,2026-W18,51.8,929
7,频次趋势V1,big_small,2026-W19,49.4,2780
7,频次趋势V1,big_small,2026-W20,49.7,2777
7,频次趋势V1,big_small,2026-W21,49.8,2813
7,频次趋势V1,big_small,2026-W22,49.6,2747
7,频次趋势V1,big_small,2026-W23,51.3,2723
7,频次趋势V1,big_small,2026-W24,50.4,2814
7,频次趋势V1,big_small,2026-W25,50.8,2814
7,频次趋势V1,big_small,2026-W26,49.9,2813
7,频次趋势V1,big_small,2026-W27,51.0,919
7,频次趋势V1,odd_even,2026-W18,50.3,929
7,频次趋势V1,odd_even,2026-W19,50.3,2780
7,频次趋势V1,odd_even,2026-W20,49.7,2777
7,频次趋势V1,odd_even,2026-W21,50.4,2813
7,频次趋势V1,odd_even,2026-W22,48.5,2747
7,频次趋势V1,odd_even,2026-W23,49.6,2723
7,频次趋势V1,odd_even,2026-W24,49.8,2814
7,频次趋势V1,odd_even,2026-W25,49.6,2814
7,频次趋势V1,odd_even,2026-W26,51.3,2813
7,频次趋势V1,odd_even,2026-W27,51.6,919
7,频次趋势V1,combo,2026-W18,28.2,929
7,频次趋势V1,combo,2026-W19,24.9,2780
7,频次趋势V1,combo,2026-W20,25.2,2777
7,频次趋势V1,combo,2026-W21,25.1,2813
7,频次趋势V1,combo,2026-W22,23.5,2747
7,频次趋势V1,combo,2026-W23,26.6,2723
7,频次趋势V1,combo,2026-W24,25.4,2814
7,频次趋势V1,combo,2026-W25,25.5,2814
7,频次趋势V1,combo,2026-W26,26.3,2813
7,频次趋势V1,combo,2026-W27,26.7,919
8,组合马尔可夫V1,big_small,2026-W18,51.2,929
8,组合马尔可夫V1,big_small,2026-W19,49.8,2780
8,组合马尔可夫V1,big_small,2026-W20,51.3,2777
8,组合马尔可夫V1,big_small,2026-W21,50.3,2813
8,组合马尔可夫V1,big_small,2026-W22,50.1,2747
8,组合马尔可夫V1,big_small,2026-W23,49.1,2723
8,组合马尔可夫V1,big_small,2026-W24,50.3,2814
8,组合马尔可夫V1,big_small,2026-W25,49.4,2814
8,组合马尔可夫V1,big_small,2026-W26,49.6,2813
8,组合马尔可夫V1,big_small,2026-W27,50.5,919
8,组合马尔可夫V1,odd_even,2026-W18,50.5,929
8,组合马尔可夫V1,odd_even,2026-W19,49.2,2780
8,组合马尔可夫V1,odd_even,2026-W20,48.5,2777
8,组合马尔可夫V1,odd_even,2026-W21,49.6,2813
8,组合马尔可夫V1,odd_even,2026-W22,50.6,2747
8,组合马尔可夫V1,odd_even,2026-W23,52.1,2723
8,组合马尔可夫V1,odd_even,2026-W24,49.1,2814
8,组合马尔可夫V1,odd_even,2026-W25,50.4,2814
8,组合马尔可夫V1,odd_even,2026-W26,50.7,2813
8,组合马尔可夫V1,odd_even,2026-W27,49.8,919
8,组合马尔可夫V1,combo,2026-W18,27.4,929
8,组合马尔可夫V1,combo,2026-W19,23.9,2780
8,组合马尔可夫V1,combo,2026-W20,25.6,2777
8,组合马尔可夫V1,combo,2026-W21,25.1,2813
8,组合马尔可夫V1,combo,2026-W22,25.2,2747
8,组合马尔可夫V1,combo,2026-W23,26.0,2723
8,组合马尔可夫V1,combo,2026-W24,26.3,2814
8,组合马尔可夫V1,combo,2026-W25,26.0,2814
8,组合马尔可夫V1,combo,2026-W26,25.1,2813
8,组合马尔可夫V1,combo,2026-W27,27.2,919
9,遗漏回补V1,big_small,2026-W18,49.0,929
9,遗漏回补V1,big_small,2026-W19,49.4,2780
9,遗漏回补V1,big_small,2026-W20,50.2,2777
9,遗漏回补V1,big_small,2026-W21,49.9,2813
9,遗漏回补V1,big_small,2026-W22,50.5,2747
9,遗漏回补V1,big_small,2026-W23,50.6,2723
9,遗漏回补V1,big_small,2026-W24,49.3,2814
9,遗漏回补V1,big_small,2026-W25,49.7,2814
9,遗漏回补V1,big_small,2026-W26,48.9,2813
9,遗漏回补V1,big_small,2026-W27,49.7,919
9,遗漏回补V1,odd_even,2026-W18,51.5,929
9,遗漏回补V1,odd_even,2026-W19,49.8,2780
9,遗漏回补V1,odd_even,2026-W20,50.5,2777
9,遗漏回补V1,odd_even,2026-W21,50.1,2813
9,遗漏回补V1,odd_even,2026-W22,49.5,2747
9,遗漏回补V1,odd_even,2026-W23,48.8,2723
9,遗漏回补V1,odd_even,2026-W24,50.5,2814
9,遗漏回补V1,odd_even,2026-W25,48.7,2814
9,遗漏回补V1,odd_even,2026-W26,49.9,2813
9,遗漏回补V1,odd_even,2026-W27,51.0,919
9,遗漏回补V1,combo,2026-W18,23.8,929
9,遗漏回补V1,combo,2026-W19,24.8,2780
9,遗漏回补V1,combo,2026-W20,24.6,2777
9,遗漏回补V1,combo,2026-W21,25.1,2813
9,遗漏回补V1,combo,2026-W22,25.0,2747
9,遗漏回补V1,combo,2026-W23,25.0,2723
9,遗漏回补V1,combo,2026-W24,24.0,2814
9,遗漏回补V1,combo,2026-W25,24.3,2814
9,遗漏回补V1,combo,2026-W26,24.9,2813
9,遗漏回补V1,combo,2026-W27,24.3,919
